Canada - International students by country of citizenship (2015 ranking) and year in which study permit(s) became effective, 2006 - Q3 2016*,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of citizenship,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Q1-Q3 2016,,,,,,,,,,,,,,,
Somalia, Democratic Republic of,48.00,54.00,39.00,72.00,62.00,45.00,36.00,39.00,30.00,24.00,51.00,,,,,,,,,,,,,,,
Sierra Leone,25.00,23.00,17.00,18.00,15.00,23.00,28.00,15.00,22.00,21.00,27.00,,,,,,,,,,,,,,,
Kyrgyzstan,11.00,15.00,11.00,17.00,14.00,16.00,26.00,19.00,17.00,21.00,40.00,,,,,,,,,,,,,,,
Bosnia-Herzegovina,11.00,32.00,21.00,33.00,22.00,26.00,29.00,21.00,21.00,20.00,14.00,,,,,,,,,,,,,,,
Malawi,19.00,18.00,15.00,20.00,13.00,21.00,19.00,23.00,18.00,19.00,21.00,,,,,,,,,,,,,,,
Qatar,19.00,10.00,18.00,13.00,14.00,16.00,25.00,19.00,15.00,19.00,19.00,,,,,,,,,,,,,,,
Macedonia,16.00,19.00,17.00,23.00,12.00,18.00,18.00,17.00,24.00,17.00,24.00,,,,,,,,,,,,,,,
Estonia,9.00,13.00,11.00,8.00,19.00,15.00,11.00,15.00,17.00,17.00,25.00,,,,,,,,,,,,,,,
Armenia,16.00,17.00,13.00,10.00,22.00,21.00,20.00,26.00,23.00,17.00,22.00,,,,,,,,,,,,,,,
Paraguay,24.00,19.00,14.00,47.00,26.00,29.00,28.00,29.00,24.00,16.00,30.00,,,,,,,,,,,,,,,
Fiji,29.00,45.00,72.00,67.00,56.00,69.00,37.00,43.00,30.00,15.00,24.00,,,,,,,,,,,,,,,
Nicaragua,28.00,20.00,11.00,21.00,17.00,20.00,25.00,13.00,14.00,14.00,15.00,,,,,,,,,,,,,,,
Mozambique,9.00,8.00,8.00,9.00,10.00,11.00,9.00,10.00,10.00,13.00,5.00,,,,,,,,,,,,,,,
Cyprus,20.00,15.00,15.00,16.00,7.00,18.00,10.00,9.00,12.00,13.00,8.00,,,,,,,,,,,,,,,
Laos,9.00,8.00,14.00,16.00,7.00,12.00,12.00,5.00,10.00,13.00,13.00,,,,,,,,,,,,,,,
